sexo;idade;saúde;faltas
F;18;3;6
F;17;3;4
F;15;3;10
F;15;5;2
F;16;5;4
M;16;5;10
M;16;3;0
F;17;1;6
M;15;1;0
M;15;5;0
F;15;2;0
F;15;4;4
M;15;5;2
M;15;3;2
M;15;3;0
F;16;2;4
F;16;2;6
F;16;4;4
M;17;5;16
M;16;5;4
M;15;1;0
M;15;5;0
M;16;5;2
M;16;5;0
F;15;5;2
F;16;5;14
M;15;5;2
M;15;1;4
M;16;5;4
M;16;5;16
M;15;5;0
M;15;5;0
M;15;5;0
M;15;2;0
M;16;5;0
F;15;5;0
M;15;4;2
M;16;5;7
F;15;5;2
F;15;2;8
F;16;3;25
M;15;5;8
M;15;5;2
M;15;1;0
F;16;5;14
F;15;5;8
F;16;3;12
M;16;2;4
M;15;5;2
F;15;3;2
F;16;4;2
F;15;5;2
M;15;5;6
F;15;5;0
F;15;1;6
F;16;2;8
F;15;1;0
M;15;5;4
M;15;5;2
F;16;5;2
F;16;4;6
F;16;5;6
F;16;1;4
F;16;4;2
F;15;2;0
F;16;1;2
M;15;3;4
F;16;5;4
F;15;4;2
F;15;3;12
M;16;5;0
M;15;3;0
F;15;5;2
M;16;5;2
F;16;5;54
M;15;5;6
M;15;1;8
F;16;3;0
M;17;3;2
F;16;3;12
M;15;3;2
M;15;5;4
F;15;5;10
M;15;4;4
F;15;4;2
F;15;5;6
F;16;2;4
F;15;1;4
M;16;3;12
M;16;5;18
F;16;4;0
F;15;1;4
F;16;2;4
F;16;1;0
M;15;4;6
F;15;1;2
M;16;4;2
F;16;5;2
F;16;1;6
F;16;3;0
M;16;4;14
M;16;4;0
M;15;5;4
F;15;2;26
M;15;1;0
F;15;4;10
F;15;3;8
M;16;5;2
M;15;1;6
F;16;4;4
M;15;4;6
F;16;2;0
F;16;5;6
M;15;3;10
M;15;5;8
M;16;5;2
M;15;2;2
M;16;5;0
M;17;5;20
M;15;4;6
F;15;1;2
M;15;5;6
F;16;5;2
M;16;5;18
F;16;5;0
M;15;5;0
F;15;1;0
F;19;5;2
M;18;4;0
M;16;4;8
F;15;5;0
F;15;4;0
F;17;5;12
F;16;5;16
M;15;5;0
F;15;5;0
M;17;5;0
F;16;5;0
M;16;5;0
F;15;5;0
M;15;3;0
M;16;2;8
F;15;5;2
F;16;1;2
M;17;5;0
F;15;5;0
F;15;3;0
F;15;5;2
M;16;5;0
M;15;5;0
M;18;4;0
M;16;5;6
F;15;3;8
M;19;4;0
F;17;4;0
M;15;1;2
M;17;5;8
F;18;4;6
M;16;3;2
M;16;5;4
M;17;5;0
M;15;3;6
M;16;5;0
M;17;2;2
M;17;5;0
M;16;2;16
M;16;4;4
F;16;3;0
F;16;4;0
F;16;3;0
M;16;2;0
M;16;3;2
M;17;5;0
F;16;3;0
F;16;4;4
M;17;4;4
F;16;5;2
M;17;4;4
M;16;3;10
M;17;2;4
M;16;3;10
M;16;3;2
F;17;5;0
F;17;1;56
F;16;1;14
M;17;4;12
M;16;3;2
M;16;5;0
F;17;3;6
M;17;3;4
F;16;2;10
F;17;3;0
M;17;5;12
M;16;5;8
M;16;3;0
F;17;5;0
M;17;5;4
M;16;3;8
F;17;2;24
F;16;3;0
F;16;2;2
F;16;4;6
F;17;1;4
F;17;3;18
F;16;5;6
F;17;5;28
F;16;4;5
F;16;1;10
F;16;5;6
F;17;4;6
F;19;3;10
M;17;3;13
F;16;4;0
M;18;5;15
F;17;3;12
F;17;1;2
F;17;1;22
M;18;4;13
